"state","placefp","cbsa10","stab","placenm","cbsaname10","pop10","afact"
"State code","Place code","CBSA (2010)","State abbreviation","Place name","2010 CBSA name","Population (2010)","placefp to cbsa10 allocation factor"
"01","31348","13820","AL","Grayson Valley CDP, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",5736,1 
"01","31384","13820","AL","Graysville city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2165,1 
"01","31720","46220","AL","Greensboro city, AL","Tuscaloosa, AL Metropolitan Statistical Area",2497,1 
"01","31912","99999","AL","Greenville city, AL","99999",8135,1 
"01","32056","21460","AL","Grimes town, AL","Enterprise-Ozark, AL Micropolitan Statistical Area",558,1 
"01","32080","99999","AL","Grove Hill town, AL","99999",1570,1 
"01","32224","99999","AL","Guin city, AL","99999",2376,1 
"01","32248","33660","AL","Gulfcrest CDP, AL","Mobile, AL Metropolitan Statistical Area",161,1 
"01","32272","19300","AL","Gulf Shores city, AL","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",9741,1 
"01","32416","10700","AL","Guntersville city, AL","Albertville, AL Micropolitan Statistical Area",8197,1 
"01","32440","26620","AL","Gurley town, AL","Huntsville, AL Metropolitan Statistical Area",801,1 
"01","32536","99999","AL","Gu-Win town, AL","99999",176,1 
"01","32560","99999","AL","Hackleburg town, AL","99999",1516,1 
"01","32584","10760","AL","Hackneyville CDP, AL","Alexander City, AL Micropolitan Statistical Area",347,1 
"01","32656","20020","AL","Haleburg town, AL","Dothan, AL Metropolitan Statistical Area",103,1 
"01","32704","99999","AL","Haleyville city, AL","99999",4173,1 
"01","32848","99999","AL","Hamilton city, AL","99999",6885,1 
"01","32896","22840","AL","Hammondville town, AL","Fort Payne, AL Micropolitan Statistical Area",488,1 
"01","32968","18980","AL","Hanceville city, AL","Cullman, AL Micropolitan Statistical Area",2982,1 
"01","33256","13820","AL","Harpersville town, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1637,1 
"01","33424","20020","AL","Hartford city, AL","Dothan, AL Metropolitan Statistical Area",2624,1 
"01","33448","19460","AL","Hartselle city, AL","Decatur, AL Metropolitan Statistical Area",14255,1 
"01","33472","26620","AL","Harvest CDP, AL","Huntsville, AL Metropolitan Statistical Area",5281,1 
"01","33544","19460","AL","Hatton CDP, AL","Decatur, AL Metropolitan Statistical Area",261,1 
"01","33640","13820","AL","Hayden town, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",444,1 
"01","33712","33860","AL","Hayneville town, AL","Montgomery, AL Metropolitan Statistical Area",932,1 
"01","33808","26620","AL","Hazel Green CDP, AL","Huntsville, AL Metropolitan Statistical Area",3630,1 
"01","33856","20020","AL","Headland city, AL","Dothan, AL Metropolitan Statistical Area",4510,1 
"01","33904","99999","AL","Heath town, AL","99999",254,1 
"01","33976","99999","AL","Heflin city, AL","99999",3480,1 
"01","34024","13820","AL","Helena city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",16793,1 
"01","34096","22840","AL","Henagar city, AL","Fort Payne, AL Micropolitan Statistical Area",2344,1 
"01","34480","13820","AL","Highland Lake town, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",412,1 
"01","34490","13820","AL","Highland Lakes CDP, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",3926,1 
"01","34816","19460","AL","Hillsboro town, AL","Decatur, AL Metropolitan Statistical Area",552,1 
"01","34984","10760","AL","Hissop CDP, AL","Alexander City, AL Micropolitan Statistical Area",658,1 
"01","35130","99999","AL","Hobson CDP, AL","99999",126,1 
"01","35152","11500","AL","Hobson City town, AL","Anniston-Oxford, AL Metropolitan Statistical Area",771,1 
"01","35200","99999","AL","Hodges town, AL","99999",288,1 
"01","35392","23460","AL","Hokes Bluff city, AL","Gadsden, AL Metropolitan Statistical Area",4286,1 
"01","35512","99999","AL","Hollins CDP, AL","99999",545,1 
"01","35536","99999","AL","Hollis Crossroads CDP, AL","99999",608,1 
"01","35560","18980","AL","Holly Pond town, AL","Cullman, AL Micropolitan Statistical Area",798,1 
"01","35632","42460","AL","Hollywood town, AL","Scottsboro, AL Micropolitan Statistical Area",1000,1 
"01","35704","46220","AL","Holt CDP, AL","Tuscaloosa, AL Metropolitan Statistical Area",3638,1 
"01","35752","33860","AL","Holtville CDP, AL","Montgomery, AL Metropolitan Statistical Area",4096,1 
"01","35800","13820","AL","Homewood city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",25167,1 
"01","35896","13820","AL","Hoover city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",81619,1 
"01","36088","99999","AL","Horn Hill town, AL","99999",228,1 
"01","36448","13820","AL","Hueytown city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",16105,1 
"01","36592","46740","AL","Huguley CDP, AL","Valley, AL Micropolitan Statistical Area",2540,1 
"01","37000","26620","AL","Huntsville city, AL","Huntsville, AL Metropolitan Statistical Area",180105,1 
"01","37096","17980","AL","Hurtsboro town, AL","Columbus, GA-AL Metropolitan Statistical Area",553,1 
"01","37264","42460","AL","Hytop town, AL","Scottsboro, AL Micropolitan Statistical Area",354,1 
"01","37312","22840","AL","Ider town, AL","Fort Payne, AL Micropolitan Statistical Area",723,1 
"01","37465","13820","AL","Indian Springs Village city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2363,1 
"01","37864","13820","AL","Irondale city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",12349,1 
"01","38032","23460","AL","Ivalee CDP, AL","Gadsden, AL Metropolitan Statistical Area",879,1 
"01","38152","99999","AL","Jackson city, AL","99999",5228,1 
"01","38248","10760","AL","Jacksons Gap town, AL","Alexander City, AL Micropolitan Statistical Area",828,1 
"01","38272","11500","AL","Jacksonville city, AL","Anniston-Oxford, AL Metropolitan Statistical Area",12548,1 
"01","38416","13820","AL","Jasper city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",14352,1 
"01","38608","13820","AL","Jemison city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",2585,1 
"01","39088","10700","AL","Joppa CDP, AL","Albertville, AL Micropolitan Statistical Area",110,0.22 
"01","39088","18980","AL","Joppa CDP, AL","Cullman, AL Micropolitan Statistical Area",391,0.78 
